SupplierID,PartID,PartDescription,OrderDate,EstimatedDeliveryDate,ActualDeliveryDate,Quantity,UnitCost,TransportMode,TransportCost,WarehouseID,WarehouseLocation,WarehouseCapacity,CurrentInventory,SupplierName,SupplierLocation,TotalCost,LeadTimeDays
208,134,Transmission,2023-01-01 00:00:00,2023-01-21 00:00:00,2023-01-12 00:00:00,302,540.65,Air,764.76,9,Leeds,3850,3690,Supplier_208,Sheffield,163276.3,11
208,109,Engine,2023-02-02 14:00:00,2023-02-21 14:00:00,2023-02-20 14:00:00,637,209.58,Sea,1993.89,10,Glasgow,4346,1053,Supplier_208,Sheffield,133502.46,18
208,25,Tire,2023-02-26 02:00:00,2023-02-28 02:00:00,2023-03-02 02:00:00,811,259.95,Road,1477.59,1,Sheffield,2358,3130,Supplier_208,Sheffield,210819.45,4
208,39,Tire,2023-04-18 00:00:00,2023-05-06 00:00:00,2023-05-07 00:00:00,271,996.03,Air,495.2,9,Bristol,4964,3977,Supplier_208,Sheffield,269924.13,19
208,73,Engine,2023-05-05 20:00:00,2023-05-19 20:00:00,2023-05-21 20:00:00,650,153.66,Air,1640.44,8,London,4952,2770,Supplier_208,Sheffield,99879,16
47,120,Door,2023-01-01 01:00:00,2023-01-09 01:00:00,2023-01-19 01:00:00,179,338.56,Rail,259.39,1,Liverpool,4935,1330,Supplier_47,Liverpool,60602.24,18
47,112,Steering,2023-01-01 16:00:00,2023-01-04 16:00:00,2023-01-17 16:00:00,772,286.5,Air,659.31,3,Birmingham,4918,2455,Supplier_47,Liverpool,221178,16
47,108,Suspension,2023-01-27 14:00:00,2023-02-04 14:00:00,2023-02-12 14:00:00,45,463.47,Rail,293.51,3,Cardiff,1684,2599,Supplier_47,Liverpool,20856.15,16
47,107,Windshield,2023-02-06 06:00:00,2023-02-11 06:00:00,2023-02-14 06:00:00,432,707.02,Air,530.33,10,Sheffield,2356,3164,Supplier_47,Liverpool,305432.64,8
47,66,Suspension,2023-02-12 10:00:00,2023-03-01 10:00:00,2023-02-28 10:00:00,144,842.97,Road,157.44,20,Leeds,3512,1615,Supplier_47,Liverpool,121387.68,16
47,29,Tire,2023-02-15 03:00:00,2023-03-04 03:00:00,2023-03-08 03:00:00,940,277.83,Road,221.96,10,Leeds,3886,2335,Supplier_47,Liverpool,261160.2,21
47,102,Engine,2023-02-24 02:00:00,2023-03-15 02:00:00,2023-03-20 02:00:00,894,818.75,Sea,1268.4,14,London,4721,1141,Supplier_47,Liverpool,731962.5,24
47,122,Windshield,2023-03-04 14:00:00,2023-03-21 14:00:00,2023-03-20 14:00:00,11,259.25,Road,1746.11,15,Cardiff,2421,2559,Supplier_47,Liverpool,2851.75,16
